,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
180,6,Bellerín,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,0,0.0,0.0
324,10,Monreal,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,0,0.0,0.0
360,11,Chambers,2016/17,1,9,2,3.0,4.0,4.0,3.0,0.0,0.0,6,0.0,0.0
1087,31,Francis,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,1,0.0,0.0
1125,32,Steve Cook,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,1,0.0,0.0
1163,33,Daniels,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,1,0.0,0.0
1201,34,Smith,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,7,0.0,0.0
1998,55,Lowton,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
2036,56,Mee,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0
2074,57,Ward,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
2112,58,Keane,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0
2756,75,Terry,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,2,0.0,0.0
2793,76,Ivanovic,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,2,0.0,0.0
2830,77,Azpilicueta,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,5,0.0,0.0
2867,78,Cahill,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,2,0.0,0.0
3828,104,Dann,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0
3865,105,Ward,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0
3902,106,Kelly,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,1,0.0,0.0
3939,107,Delaney,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0
3976,108,Souaré,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0
