,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,save_form,long_form,ict_form
36,2,Cech,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,1,0.0,0.0,0.0
1011,29,Boruc,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,2,0.0,0.0,0.0
1960,54,Heaton,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,4,0.0,0.0,0.0
2682,73,Courtois,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,2,0.0,0.0,0.0
3681,100,Hennessey,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0,0.0
4570,124,Stekelenburg,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,3,0.0,0.0,0.0
5438,147,Jakupovic,2016/17,1,4,15,1.0,1.0,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0
6121,165,Schmeichel,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0
6972,188,Mignolet,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,7,0.0,0.0,0.0
8145,219,Caballero,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0
8974,242,de Gea,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,2,0.0,0.0,0.0
10131,274,Valdés,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,2,0.0,0.0,0.0
10871,294,Forster,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,2,0.0,0.0,0.0
11629,315,Given,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0,0.0
12517,339,Mannone,2016/17,1,16,5,1.0,2.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0
13146,356,Fabianski,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,8,0.0,0.0,0.0
14058,380,Lloris,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0,0.0
14095,381,Vorm,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0,0.0
15059,407,Gomes,2016/17,1,13,10,1.0,0.0,1.0,2.0,0.0,0.0,4,0.0,0.0,0.0
15910,430,Foster,2016/17,1,7,19,2.0,0.0,1.0,2.0,0.0,0.0,10,0.0,0.0,0.0
16650,450,Adrián,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,2,0.0,0.0,0.0
37,2,Cech,2016/17,2,13,15,0.0,0.0,0.0,0.0,1.0,0.0,6,0.0,0.0,0.0
1012,29,Boruc,2016/17,2,20,10,0.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0.0,0.0
