,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
397,12,Sánchez,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,2,0.0,0.0
433,13,Walcott,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,5,0.0,0.0
505,15,Cazorla,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,7,0.0,0.0
541,16,Ramsey,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,2,0.0,0.0
615,18,Chamberlain,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,6,0.0,0.0
687,20,Coquelin,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,1,0.0,0.0
723,21,Iwobi,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,3,0.0,0.0
759,22,Elneny,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,2,0.0,0.0
831,24,Xhaka,2016/17,1,14,2,3.0,4.0,4.0,3.0,0.0,0.0,0,0.0,0.0
1314,37,Arter,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,2,0.0,0.0
1390,39,Surman,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,2,0.0,0.0
1580,44,Gradel,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,1,0.0,0.0
1656,46,Ibe,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,2,0.0,0.0
1694,47,Lewis Cook,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,2,0.0,0.0
1732,48,King,2016/17,1,20,1,3.0,3.0,4.0,3.0,0.0,0.0,2,0.0,0.0
2226,61,Jones,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
2264,62,Boyd,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0
2302,63,Arfield,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0
2340,64,Marney,2016/17,1,18,6,0.0,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0
3015,82,Hazard,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,10,0.0,0.0
3089,84,Oscar,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,2,0.0,0.0
3163,86,Willian,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,2,0.0,0.0
3200,87,Matic,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,1,0.0,0.0
3311,90,Pedro,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,0,0.0,0.0
3385,92,Moses,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,1,0.0,0.0
3496,95,Kanté,2016/17,1,3,17,1.0,2.0,3.0,1.0,0.0,0.0,1,0.0,0.0
4013,109,Bolasie,2016/17,1,8,7,0.0,2.0,2.0,1.0,0.0,0.0,0,0.0,0.0
4051,110,Puncheon,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0
4088,111,Zaha,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,1,0.0,0.0
4125,112,Jedinak,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0
4310,117,Lee Chung-yong,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,3,0.0,0.0
4347,118,Cabaye,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,1,0.0,0.0
4421,120,Townsend,2016/17,1,19,7,0.0,2.0,2.0,1.0,0.0,0.0,2,0.0,0.0
4909,133,Mirallas,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,5,0.0,0.0
4947,134,Barkley,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,10,0.0,0.0
4985,135,Cleverley,2016/17,1,13,12,1.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0
5022,136,McCarthy,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,2,0.0,0.0
5060,137,Barry,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,2,0.0,0.0
5210,141,Deulofeu,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,2,0.0,0.0
5248,142,Lennon,2016/17,1,8,12,0.0,1.0,2.0,0.0,0.0,0.0,1,0.0,0.0
5742,155,Snodgrass,2016/17,1,17,15,2.0,1.0,1.0,1.0,0.0,0.0,10,0.0,0.0
5780,156,Clucas,2016/17,1,4,15,1.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0
5818,157,Livermore,2016/17,1,7,15,2.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
5855,158,Elmohamady,2016/17,1,4,15,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
5931,160,Huddlestone,2016/17,1,4,15,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
5969,161,Meyler,2016/17,1,4,15,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
6528,176,Mahrez,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,8,0.0,0.0
6602,178,King,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
6639,179,Drinkwater,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
6713,181,Gray,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,5,0.0,0.0
6750,182,Amartey,2016/17,1,15,4,1.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0
7465,201,Henderson,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,2,0.0,0.0
7503,202,Allen,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0
7540,203,Coutinho,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,15,0.0,0.0
7578,204,Can,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0
7616,205,Lallana,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,11,0.0,0.0
7768,209,Firmino,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,2,0.0,0.0
7882,212,Mané,2016/17,1,2,14,4.0,3.0,3.0,4.0,0.0,0.0,7,0.0,0.0
8433,227,Delph,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0
8469,228,Sterling,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,5,0.0,0.0
8541,230,Silva,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,3,0.0,0.0
8613,232,Navas,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,4,0.0,0.0
8649,233,Fernandinho,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
8721,235,De Bruyne,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0
8793,237,Nolito,2016/17,1,5,16,2.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0
9479,256,Mata,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,7,0.0,0.0
9515,257,Fellaini,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,2,0.0,0.0
9551,258,Depay,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0
9659,261,Januzaj,2016/17,1,16,5,1.0,2.0,1.0,1.0,0.0,0.0,1,0.0,0.0
9696,262,Herrera,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0
9768,264,Schneiderlin,2016/17,1,8,20,0.0,3.0,2.0,4.0,0.0,0.0,1,0.0,0.0
9878,267,Martial,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,11,0.0,0.0
9914,268,Mkhitaryan,2016/17,1,1,20,3.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0
10390,281,Adomah,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,2,0.0,0.0
10427,282,Downing,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,1,0.0,0.0
10464,283,Clayton,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,2,0.0,0.0
10575,286,Forshaw,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,1,0.0,0.0
10723,290,de Roon,2016/17,1,9,11,3.0,1.0,4.0,3.0,0.0,0.0,1,0.0,0.0
11233,304,Redmond,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,10,0.0,0.0
11269,305,Davis,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,2,0.0,0.0
11305,306,Ward-Prowse,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,1,0.0,0.0
11377,308,Tadic,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,2,0.0,0.0
11449,310,Oriol Romeu,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,2,0.0,0.0
11521,312,Højbjerg,2016/17,1,10,13,0.0,1.0,2.0,1.0,0.0,0.0,1,0.0,0.0
12147,329,Whelan,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,3,0.0,0.0
12184,330,Walters,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0
12221,331,Arnautovic,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,1,0.0,0.0
12295,333,Shaqiri,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,9,0.0,0.0
12332,334,Imbula,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,3,0.0,0.0
12369,335,Bojan,2016/17,1,11,9,1.0,3.0,3.0,4.0,0.0,0.0,2,0.0,0.0
12924,350,Rodwell,2016/17,1,16,5,1.0,2.0,1.0,1.0,0.0,0.0,6,0.0,0.0
12998,352,Khazri,2016/17,1,16,5,1.0,2.0,1.0,1.0,0.0,0.0,1,0.0,0.0
13035,353,Watmore,2016/17,1,16,5,1.0,2.0,1.0,1.0,0.0,0.0,2,0.0,0.0
13564,367,Cork,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,3,0.0,0.0
13602,368,Sigurdsson,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0
13640,369,Routledge,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,3,0.0,0.0
13678,370,Britton,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0
13792,373,Montero,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0
13830,374,Ayew,2016/17,1,17,3,2.0,1.0,1.0,3.0,0.0,0.0,1,0.0,0.0
13868,375,Fer,2016/17,1,6,18,1.0,0.0,0.0,1.0,0.0,0.0,11,0.0,0.0
14428,390,Dier,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,1,0.0,0.0
14539,393,Lamela,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,9,0.0,0.0
14576,394,Eriksen,2016/17,1,12,8,1.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0
